"{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
-9.71514,1,2.48923
-9.87227,1,2.47759
-10.0286,1,2.46581
-10.1842,1,2.45388
-10.339,1,2.4418
-10.493,1,2.42958
-10.6462,1,2.41721
-10.7987,1,2.4047
-10.9503,1,2.39205
-11.1011,1,2.37926
-11.251,1,2.36633
-11.4002,1,2.35325
-11.5485,1,2.34004
-11.696,1,2.32669
-11.8426,1,2.31321
-11.9884,1,2.29959
-12.1333,1,2.28583
-12.2774,1,2.27194
-12.4206,1,2.25792
-12.5629,1,2.24377
-12.7044,1,2.22948
-12.8449,1,2.21507
-12.9846,1,2.20053
-13.1234,1,2.18586
-13.2612,1,2.17107
-13.3982,1,2.15615
-13.5342,1,2.1411
-13.6694,1,2.12594
-13.8036,1,2.11065
-13.9369,1,2.09524
-14.0692,1,2.07971
-14.2006,1,2.06406
-14.3311,1,2.04829
-14.4606,1,2.03241
-14.5892,1,2.01641
-14.7168,1,2.00029
-14.8434,1,1.98407
-14.9691,1,1.96773
-15.0938,1,1.95128
-15.2175,1,1.93471
-15.3403,1,1.91804
-15.462,1,1.90126
-15.5828,1,1.88438
-15.7026,1,1.86739
-15.8214,1,1.85029
-15.9391,1,1.83309
-16.0559,1,1.81579
-16.1717,1,1.79839
-16.2864,1,1.78088
-16.4001,1,1.76328
-16.5128,1,1.74558
-16.6245,1,1.72778
-16.7351,1,1.70989
-16.8447,1,1.6919
-16.9533,1,1.67382
-17.0608,1,1.65565
-17.1673,1,1.63739
-17.2727,1,1.61903
-17.3771,1,1.60059
-17.4804,1,1.58206
-17.5827,1,1.56344
-17.6839,1,1.54474
-17.784,1,1.52596
-17.8831,1,1.50709
-17.9811,1,1.48814
-18.078,1,1.46911
-18.1738,1,1.45
-18.2686,1,1.43081
-18.3623,1,1.41154
-18.4548,1,1.3922
-18.5463,1,1.37279
-18.6368,1,1.3533
-18.7261,1,1.33373
-18.8143,1,1.3141
-18.9014,1,1.2944
-18.9874,1,1.27463
-19.0723,1,1.25479
-19.1561,1,1.23488
-19.2388,1,1.21491
-19.3204,1,1.19488
-19.4009,1,1.17478
-19.4803,1,1.15462
-19.5585,1,1.1344
-19.6356,1,1.11413
-19.7116,1,1.09379
-19.7865,1,1.0734
-19.8603,1,1.05295
-19.9329,1,1.03244
-20.0044,1,1.01189
-20.0748,1,0.99128
-20.144,1,0.970621
-20.2121,1,0.949912
-20.2791,1,0.929155
-20.345,1,0.908351
-20.4097,1,0.887501
-20.4733,1,0.866606
-20.5357,1,0.845668
-20.597,1,0.824687
-20.6572,1,0.803665
-20.7162,1,0.782603
-20.7741,1,0.761503
-20.8308,1,0.740364
-20.8864,1,0.71919
-20.9409,1,0.69798
-20.9942,1,0.676736
-21.0463,1,0.65546
-21.0974,1,0.634152
-21.1472,1,0.612813
-21.196,1,0.591446
-21.2435,1,0.57005
-21.29,1,0.548628
-21.3353,1,0.52718
-21.3794,1,0.505708
-21.4224,1,0.484212
-21.4643,1,0.462695
-21.505,1,0.441156
-21.5445,1,0.419598
-21.5829,1,0.398022
-21.6202,1,0.376428
-21.6563,1,0.354819
-21.6913,1,0.333194
-21.7251,1,0.311556
-21.7578,1,0.289905
-21.7893,1,0.268243
-21.8197,1,0.24657
-21.849,1,0.224889
-21.8771,1,0.2032
-21.9041,1,0.181504
-21.9299,1,0.159803
-21.9546,1,0.138097
-21.9781,1,0.116388
-22.0005,1,0.0946777
-22.0218,1,0.0729662
-22.0419,1,0.051255
-22.061,1,0.0295453
-22.0788,1,0.00783829
-22.0956,1,-0.0138649
-22.1112,1,-0.0355632
-22.1257,1,-0.0572554
-22.139,1,-0.0789403
-22.1512,1,-0.100617
-22.1623,1,-0.122284
-22.1723,1,-0.14394
-22.1812,1,-0.165585
-22.1889,1,-0.187216
-22.1955,1,-0.208834
-22.201,1,-0.230436
-22.2054,1,-0.252022
-22.2087,1,-0.273591
-22.2109,1,-0.295141
-22.2119,1,-0.316671
-22.2119,1,-0.338181
-22.2107,1,-0.359669
-22.2085,1,-0.381134
-22.2051,1,-0.402574
-22.2007,1,-0.42399
-22.1951,1,-0.445379
-22.1885,1,-0.466741
-22.1808,1,-0.488074
-22.1719,1,-0.509378
-22.162,1,-0.530652
-22.1511,1,-0.551893
-22.139,1,-0.573102
-22.1259,1,-0.594277
-22.1117,1,-0.615418
-22.0964,1,-0.636522
-22.08,1,-0.657589
-22.0626,1,-0.678618
-22.0441,1,-0.699608
-22.0246,1,-0.720558
-22.004,1,-0.741467
-21.9824,1,-0.762334
-21.9597,1,-0.783157
-21.9359,1,-0.803936
-21.9111,1,-0.82467
-21.8853,1,-0.845357
-21.8584,1,-0.865997
-21.8305,1,-0.886589
-21.8016,1,-0.907131
-21.7717,1,-0.927623
-21.7407,1,-0.948064
-21.7087,1,-0.968452
-21.6757,1,-0.988787
-21.6417,1,-1.00907
-21.6066,1,-1.02929
-21.5706,1,-1.04946
-21.5336,1,-1.06957
-21.4955,1,-1.08963
-21.4565,1,-1.10962
-21.4165,1,-1.12956
-21.3755,1,-1.14943
-21.3335,1,-1.16924
-21.2906,1,-1.18899
-21.2466,1,-1.20867
-21.2017,1,-1.22829
-21.1559,1,-1.24785
-21.1091,1,-1.26734
-21.0613,1,-1.28675
-21.0125,1,-1.30611
-20.9629,1,-1.32539
-20.9123,1,-1.3446
-20.8607,1,-1.36374
-20.8082,1,-1.38281
-20.7548,1,-1.4018
-20.7005,1,-1.42073
-20.6452,1,-1.43957
-20.589,1,-1.45835
-20.532,1,-1.47704
-20.474,1,-1.49566
-20.4151,1,-1.5142
-20.3553,1,-1.53266
-20.2946,1,-1.55104
-20.233,1,-1.56934
-20.1706,1,-1.58756
-20.1073,1,-1.6057
-20.0431,1,-1.62375
-19.978,1,-1.64172
-19.9121,1,-1.65961
-19.8453,1,-1.67741
-19.7777,1,-1.69512
-19.7092,1,-1.71275
-19.6399,1,-1.73029
-19.5698,1,-1.74774
-19.4988,1,-1.7651
-19.427,1,-1.78237
-19.3544,1,-1.79955
-19.2809,1,-1.81664
-19.2067,1,-1.83363
-19.1316,1,-1.85054
-19.0558,1,-1.86735
-18.9792,1,-1.88406
-18.9017,1,-1.90068
-18.8235,1,-1.9172
-18.7446,1,-1.93363
-18.6648,1,-1.94996
-18.5843,1,-1.96619
-18.503,1,-1.98233
-18.421,1,-1.99836
-18.3382,1,-2.01429
-18.2547,1,-2.03013
-18.1705,1,-2.04586
-18.0855,1,-2.06149
-17.9998,1,-2.07701
-17.9134,1,-2.09244
-17.8262,1,-2.10776
-17.7384,1,-2.12297
