"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.251,-2.10438e+112,1,-5.59544e+108
0.252,1.25499e+112,1,-2.66336e+109
0.253,1.72339e+113,1,-1.40571e+109
0.254,2.56509e+113,1,1.58296e+110
0.255,-6.93523e+113,1,4.14647e+110
0.256,-3.18071e+114,1,-2.79291e+110
0.257,-1.50178e+114,1,-3.45972e+111
0.258,1.92581e+115,1,-4.95805e+111
0.259,4.89871e+115,1,1.4305e+112
0.26,-3.68918e+115,1,6.32778e+112
0.261,-4.16521e+116,1,2.63227e+112
0.262,-5.74041e+116,1,-3.90225e+113
0.263,1.76788e+117,1,-9.63876e+113
0.264,7.54937e+117,1,8.04971e+113
0.265,2.71199e+117,1,8.35354e+114
0.266,-4.7412e+118,1,1.10572e+115
0.267,-1.13708e+119,1,-3.63658e+115
0.268,1.04601e+119,1,-1.50037e+116
0.269,1.00472e+120,1,-4.52859e+115
0.27,1.27543e+120,1,9.59479e+116
0.271,-4.48272e+120,1,2.23395e+117
0.272,-1.78819e+121,1,-2.251e+117
0.273,-4.35803e+120,1,-2.01307e+118
0.274,1.1643e+122,1,-2.44686e+118
0.275,2.63126e+122,1,9.19863e+118
0.276,-2.89056e+122,1,3.5502e+119
0.277,-2.41889e+123,1,6.56093e+118
0.278,-2.81012e+123,1,-2.35334e+120
0.279,1.13127e+124,1,-5.16111e+120
0.28,4.22681e+124,1,6.1568e+120
0.281,5.28507e+123,1,4.84188e+121
0.282,-2.85233e+125,1,5.36554e+121
0.283,-6.0688e+125,1,-2.31631e+122
0.284,7.83513e+125,1,-8.3828e+122
0.285,5.81241e+126,1,-5.39279e+121
0.286,6.13016e+126,1,5.75853e+123
0.287,-2.84272e+127,1,1.18829e+124
0.288,-9.96964e+127,1,-1.65561e+124
0.289,-2.59951e+125,1,-1.16236e+125
0.29,6.97156e+128,1,-1.1638e+125
0.291,1.39474e+129,1,5.80893e+125
0.292,-2.09202e+129,1,1.97505e+126
0.293,-1.39402e+130,1,-1.18941e+125
0.294,-1.32126e+130,1,-1.4059e+127
0.295,7.11548e+130,1,-2.72576e+127
0.296,2.34629e+131,1,4.39245e+127
0.297,-2.91522e+130,1,2.7851e+128
0.298,-1.70018e+132,1,2.49079e+128
0.299,-3.19296e+132,1,-1.45135e+129
0.3,5.51835e+132,1,-4.64286e+129
0.301,3.337e+133,1,8.80136e+128
0.302,2.80558e+133,1,3.42493e+130
0.303,-1.77468e+134,1,6.22708e+130
0.304,-5.50915e+134,1,-1.15259e+131
0.305,1.41191e+134,1,-6.66059e+131
0.306,4.13741e+135,1,-5.24202e+131
0.307,7.27848e+135,1,3.61373e+132
0.308,-1.44112e+136,1,1.08886e+133
0.309,-7.97283e+136,1,-3.53347e+132
0.31,-5.84478e+136,1,-8.32583e+133
0.311,4.4116e+137,1,-1.41623e+134
0.312,1.29046e+138,1,2.99679e+134
0.313,-5.08909e+137,1,1.58984e+135
0.314,-1.00474e+139,1,1.07934e+135
0.315,-1.65134e+139,1,-8.96916e+135
0.316,3.73181e+139,1,-2.54736e+136
0.317,1.90122e+140,1,1.187e+136
0.318,1.18712e+140,1,2.0198e+137
0.319,-1.09329e+141,1,3.20491e+137
0.32,-3.01514e+141,1,-7.73119e+137
0.321,1.62659e+141,1,-3.78749e+138
0.322,2.43499e+142,1,-2.15711e+138
0.323,3.72682e+142,1,2.21949e+139
0.324,-9.59387e+142,1,5.94409e+139
0.325,-4.52488e+143,1,-3.65572e+139
0.326,-2.32693e+143,1,-4.89009e+140
0.327,2.70159e+144,1,-7.21213e+140
0.328,7.02617e+144,1,1.9811e+141
0.329,-4.86748e+144,1,9.00529e+141
0.33,-5.88944e+145,1,4.12881e+141
0.331,-8.36083e+145,1,-5.47697e+142
0.332,2.45093e+146,1,-1.38323e+143
0.333,1.07479e+147,1,1.06909e+143
0.334,4.32262e+146,1,1.18159e+144
0.335,-6.65771e+147,1,1.61267e+144
0.336,-1.63271e+148,1,-5.04665e+144
0.337,1.39692e+148,1,-2.13687e+145
0.338,1.42167e+149,1,-7.37814e+144
0.339,1.86294e+149,1,1.34797e+146
0.34,-6.22672e+149,1,3.20956e+146
0.341,-2.54778e+150,1,-3.02037e+146
0.342,-7.33014e+149,1,-2.84952e+147
0.343,1.63648e+151,1,-3.57968e+147
0.344,3.78266e+151,1,1.27887e+148
0.345,-3.89436e+151,1,5.06025e+148
0.346,-3.4252e+152,1,1.16083e+148
0.347,-4.11827e+152,1,-3.30923e+149
0.348,1.57412e+153,1,-7.42419e+149
0.349,6.02707e+153,1,8.32448e+149
0.35,1.02635e+153,1,6.85868e+150
0.351,-4.01268e+154,1,7.87818e+150
0.352,-8.73557e+154,1,-3.22565e+151
0.353,1.0627e+155,1,-1.1958e+152
0.354,8.23644e+155,1,-1.31898e+151
0.355,9.01959e+155,1,8.10467e+152
0.356,-3.96175e+156,1,1.71162e+153
0.357,-1.42275e+157,1,-2.25184e+153
0.358,-7.02197e+155,1,-1.64771e+154
0.359,9.81609e+157,1,-1.71628e+154
0.36,2.0104e+158,1,8.10153e+154
0.361,-2.85253e+158,1,2.81974e+155
0.362,-1.97681e+159,1,-3.56161e+153
0.363,-1.95347e+159,1,-1.98037e+156
0.364,9.93071e+159,1,-3.93186e+156
0.365,3.35119e+160,1,6.00279e+156
0.366,-2.53832e+159,1,3.95087e+157
0.367,-2.39588e+161,1,3.69309e+157
0.368,-4.60934e+161,1,-2.02694e+158
0.369,7.55692e+161,1,-6.63425e+158
0.37,4.73549e+162,1,9.29304e+157
0.371,4.17317e+162,1,4.82832e+159
0.372,-2.4801e+163,1,8.99667e+159
0.373,-7.87561e+163,1,-1.58133e+160
0.374,1.62023e+163,1,-9.45536e+160
0.375,5.83508e+164,1,-7.82567e+160
0.376,1.05246e+165,1,5.0533e+161
0.377,-1.98056e+165,1,1.55729e+162
0.378,-1.13223e+166,1,-4.24833e+161
0.379,-8.762e+165,1,-1.17467e+163
0.38,6.17271e+166,1,-2.0497e+163
0.381,1.84647e+167,1,4.12507e+163
0.382,-6.30413e+166,1,2.25857e+164
0.383,-1.41812e+168,1,1.6259e+164
0.384,-2.39224e+168,1,-1.25569e+165
0.385,5.14431e+168,1,-3.64668e+165
0.386,2.70192e+169,1,1.50128e+165
0.387,1.79845e+169,1,2.8519e+166
0.388,-1.53147e+170,1,4.6475e+166
0.389,-4.31844e+170,1,-1.06719e+167
0.39,2.08901e+170,1,-5.38457e+167
0.391,3.43943e+171,1,-3.29017e+167
0.392,5.41009e+171,1,3.11074e+168
0.393,-1.32598e+172,1,8.51773e+168
0.394,-6.43529e+172,1,-4.75058e+168
0.395,-3.57851e+172,1,-6.90987e+169
0.396,3.78843e+173,1,-1.04815e+170
0.397,1.00735e+174,1,2.74133e+170
0.398,-6.38454e+173,1,1.28121e+171
0.399,-8.32509e+174,1,6.41476e+170
0.4,-1.21656e+175,1,-7.68425e+171
0.401,3.39521e+175,1,-1.98422e+172
0.402,1.52971e+176,1,1.41297e+172
0.403,6.80399e+175,1,1.67087e+173
0.404,-9.34549e+176,1,2.3496e+173
0.405,-2.34337e+177,1,-6.99825e+173
0.406,1.85792e+177,1,-3.0425e+174
0.407,2.01111e+178,1,-1.18154e+174
0.408,2.71802e+178,1,1.89307e+175
0.409,-8.64312e+178,1,4.60919e+175
0.41,-3.62896e+179,1,-4.03854e+175
0.411,-1.20221e+179,1,-4.03241e+176
0.412,2.29935e+180,1,-5.23059e+176
0.413,5.43541e+180,1,1.77681e+177
0.414,-5.2309e+180,1,7.21044e+177
0.415,-4.84883e+181,1,1.97233e+177
0.416,-6.02738e+181,1,-4.6518e+178
0.417,2.18894e+182,1,-1.06745e+179
0.418,8.59147e+182,1,1.12256e+179
0.419,1.84753e+182,1,9.71291e+179
0.42,-5.64318e+183,1,1.15507e+180
0.421,-1.2568e+184,1,-4.48926e+180
0.422,1.43802e+184,1,-1.70527e+181
0.423,1.16682e+185,1,-2.65553e+180
0.424,1.32499e+185,1,1.14029e+182
0.425,-5.5181e+185,1,2.46414e+182
0.426,-2.02974e+186,1,-3.05642e+182
0.427,-1.93858e+185,1,-2.33508e+183
0.428,1.38168e+187,1,-2.5266e+183
0.429,2.89626e+187,1,1.12927e+184
0.43,-3.88228e+187,1,4.02441e+184
0.431,-2.80248e+188,1,1.38103e+183
0.432,-2.88254e+188,1,-2.78869e+185
0.433,1.38525e+189,1,-5.66844e+185
0.434,4.78493e+189,1,8.18969e+185
0.435,-1.33675e+188,1,5.60308e+186
0.436,-3.3752e+190,1,5.4638e+186
0.437,-6.65011e+190,1,-2.82937e+187
0.438,1.03327e+191,1,-9.47664e+187
0.439,6.71823e+191,1,8.65584e+186
0.44,6.19216e+191,1,6.8047e+188
0.441,-3.46422e+192,1,1.29901e+189
0.442,-1.12548e+193,1,-2.16652e+189
0.443,1.75557e+192,1,-1.34191e+190
0.444,8.22687e+193,1,-1.16502e+190
0.445,1.52087e+194,1,7.06302e+190
0.446,-2.71846e+194,1,2.22647e+191
0.447,-1.60746e+195,1,-4.94216e+190
0.448,-1.30932e+195,1,-1.65683e+192
0.449,8.63296e+195,1,-2.96449e+192
0.45,2.64113e+196,1,5.67144e+192
0.451,-7.64376e+195,1,3.2077e+193
